Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Lionel Andrés Messi Cuccittini,169,67,"['Delantero', 'Mediocampista']",90,Left,4,83,89,60,91,86,96,93,93,90,93,87,74,91,88,95,83,71,70,68,90,44,40,91,92,75,96,20,35,24,6,11,15,14.0,8.0
Neymar da Silva Santos Júnior,175,68,"['Delantero', 'Mediocampista']",89,Right,5,83,83,63,85,86,95,88,87,81,94,88,85,93,88,83,79,72,78,51,81,63,37,86,90,85,93,35,32,29,9,9,15,15.0,11.0
Federico Santiago Valverde Dipetta,182,78,"['Delantero', 'Mediocampista']",88,Right,4,78,78,59,87,70,83,74,69,88,88,84,91,77,89,68,89,80,89,80,87,81,83,86,86,59,84,79,85,79,6,10,6,15.0,8.0
Bernardo Mota Veiga de Carvalho e Silva,173,64,"['Delantero', 'Mediocampista']",88,Left,3,84,78,54,91,78,92,84,67,82,91,78,68,95,89,92,79,66,93,54,79,78,73,85,87,68,89,70,76,60,9,10,14,12.0,9.0
Joshua Walter Kimmich,177,75,"['Defensor', 'Mediocampista']",87,Right,4,91,68,72,88,69,82,85,76,91,84,77,65,84,87,84,78,78,93,68,83,86,85,80,85,69,86,81,84,78,8,15,7,15.0,15.0
손흥민 孙兴慜 Heung-Min Son,183,78,"['Delantero', 'Mediocampista']",87,Right,5,84,90,70,83,79,87,87,74,72,83,85,88,81,90,74,88,78,88,64,89,62,39,91,82,73,88,47,34,33,11,13,13,6.0,10.0
Pedro González López,174,60,"['Delantero', 'Mediocampista']",86,Right,4,68,72,50,88,56,87,79,62,86,88,81,76,88,87,90,68,73,87,73,68,62,73,79,88,53,87,68,77,65,12,7,11,8.0,8.0
Bukayo Saka,178,65,"['Delantero', 'Mediocampista']",86,Left,3,83,84,45,82,79,89,82,69,69,88,88,82,85,85,87,79,70,86,63,82,68,62,82,84,82,81,60,62,60,7,8,13,9.0,13.0
Rafael Alexandre Conceição Leão,188,81,"['Delantero', 'Mediocampista']",86,Right,4,78,82,65,80,74,90,80,60,63,88,94,94,85,84,80,80,86,77,80,74,60,24,82,75,63,83,22,24,21,10,12,15,11.0,9.0
Philip Foden,171,69,"['Delantero', 'Mediocampista']",86,Left,3,80,82,47,87,59,88,82,68,82,91,86,78,91,81,91,87,63,83,47,81,64,59,85,86,64,86,60,59,47,8,15,6,10.0,13.0
Christopher Nkunku,175,73,"['Delantero', 'Mediocampista']",86,Right,3,81,86,61,85,70,89,82,80,80,88,81,82,88,85,90,79,74,78,64,78,59,64,86,84,67,81,62,64,54,5,6,10,15.0,7.0
Paulo Bruno Exequiel Dybala,177,75,"['Delantero', 'Mediocampista']",86,Left,3,82,82,54,86,90,90,90,88,79,93,84,76,88,82,90,84,71,74,60,89,43,42,82,91,88,84,32,41,39,5,4,4,5.0,8.0
João Pedro Cavaco Cancelo,182,74,"['Mediocampista', 'Defensor']",86,Right,4,87,69,72,87,62,85,87,69,79,86,86,77,79,84,78,80,80,88,62,79,76,81,81,85,52,85,79,83,79,6,9,15,14.0,14.0
Alejandro Grimaldo García,171,68,"['Mediocampista', 'Defensor']",86,Left,2,89,64,62,86,63,85,89,89,82,86,86,79,84,85,86,82,76,88,63,83,69,79,78,84,54,83,76,78,74,7,13,10,7.0,13.0
Riyad Mahrez,179,67,"['Delantero', 'Mediocampista']",86,Left,4,81,82,56,83,76,89,85,80,75,91,83,75,91,84,88,82,70,78,57,82,48,39,84,84,73,81,45,34,22,15,9,13,11.0,6.0
Theo Bernard François Hernández,184,81,"['Mediocampista', 'Defensor']",85,Left,3,84,67,74,79,66,83,69,64,68,79,92,94,78,85,76,83,90,90,81,71,82,78,80,73,50,80,74,81,80,12,10,7,7.0,7.0
Domenico Berardi,183,72,"['Delantero', 'Mediocampista']",85,Left,3,78,85,62,85,78,86,78,75,79,87,82,82,92,85,87,83,75,78,64,80,85,25,86,83,76,78,42,30,30,5,6,5,5.0,6.0
Sadio Mané,174,69,"['Delantero', 'Mediocampista']",85,Right,4,78,83,78,83,75,85,77,64,71,86,82,83,86,87,88,85,84,79,70,77,75,35,84,81,75,84,42,42,38,10,10,15,7.0,14.0
Jack Grealish,180,81,"['Delantero', 'Mediocampista']",85,Right,3,83,76,48,85,72,89,83,74,81,90,79,74,84,84,85,76,71,83,71,79,65,49,82,87,58,88,58,54,48,11,6,11,10.0,13.0
John Stones,188,76,"['Mediocampista', 'Defensor']",85,Right,4,63,54,84,86,44,77,52,37,79,84,69,76,69,86,59,55,85,74,77,44,80,84,58,78,52,87,86,86,84,7,15,11,10.0,8.0
Jeremie Agyekum Frimpong,171,64,"['Mediocampista', 'Defensor']",84,Right,3,85,66,52,77,43,85,77,47,61,83,96,92,91,78,90,58,74,85,61,53,77,78,78,81,41,80,78,79,77,12,7,8,13.0,14.0
Gabriel Teodoro Martinelli Silva,178,75,"['Delantero', 'Mediocampista']",84,Right,3,79,83,72,79,78,89,74,68,65,84,91,88,87,82,81,77,82,82,63,73,80,39,82,79,62,79,44,44,43,10,6,7,6.0,6.0
Aurélien Tchouaméni,188,82,"['Defensor', 'Mediocampista']",84,Right,3,68,65,74,85,50,78,76,53,84,81,74,72,72,83,70,78,84,83,82,75,80,84,74,82,55,83,83,83,80,9,8,12,12.0,7.0
Luis Fernando Díaz Marulanda,180,73,"['Delantero', 'Mediocampista']",84,Right,4,76,80,64,78,74,89,77,58,73,87,91,90,88,83,77,84,80,87,69,81,72,28,83,77,63,82,35,42,34,10,13,13,14.0,14.0
Federico Chiesa,175,70,"['Delantero', 'Mediocampista']",84,Right,4,75,81,50,78,80,89,78,62,72,82,91,91,89,84,81,86,75,85,70,84,74,54,83,77,62,82,60,48,44,6,7,8,9.0,7.0
Marcos Llorente Moreno,184,74,"['Defensor', 'Mediocampista']",84,Right,4,76,81,67,83,66,82,75,63,82,81,87,91,83,83,68,84,84,91,77,79,80,83,84,81,65,79,79,82,74,13,6,6,11.0,15.0
Yannick Ferreira Carrasco,181,73,"['Mediocampista', 'Delantero', 'Defensor']",84,Right,4,82,81,56,80,74,88,86,80,74,84,87,88,86,80,70,84,74,75,61,82,65,57,80,80,79,84,54,64,61,9,11,9,10.0,10.0
Ángel Fabián Di María Hernández,180,69,"['Delantero', 'Mediocampista']",84,Left,2,84,77,53,87,78,90,92,88,81,91,78,74,88,77,75,82,69,70,61,86,72,42,80,89,73,89,41,55,52,10,7,11,12.0,11.0
Pablo Martín Paez Gaviria,173,70,"['Delantero', 'Mediocampista']",83,Right,3,69,71,42,84,49,86,74,47,82,85,77,75,86,86,90,56,62,84,58,70,85,79,81,83,51,74,59,78,72,8,10,11,7.0,13.0
Daniel Olmo Carvajal,179,72,"['Delantero', 'Mediocampista']",83,Right,4,78,74,43,86,76,87,75,75,79,86,77,61,86,84,86,79,60,74,54,77,51,57,82,85,66,82,50,50,44,15,15,13,12.0,11.0
Alphonso Boyle Davies,185,77,"['Mediocampista', 'Defensor']",83,Left,4,84,64,70,82,59,85,72,44,71,84,96,95,86,83,83,74,86,77,75,63,77,78,77,77,58,78,71,74,74,11,11,6,5.0,14.0
